x,3,3 
y,3,3 
z,3,3 
a,3,4 
b,3,4 
c,3,4 
d,3,4 
e,3,4 
f,3,4 
g,3,4 
h,3,4 
i,3,4 
j,3,4 
k,3,4 
l,3,4 
m,3,4 
n,3,4 
o,3,4 
p,3,4 
q,3,4 
r,3,4 
s,3,4 
t,3,4 
u,3,4 
w,3,4 
x,3,4 
y,3,4 
z,3,4 
a,3,5 
b,3,5 
c,3,5 
d,3,5 
e,3,5 
f,3,5 
g,3,5 
h,3,5 
i,3,5 
j,3,5 
k,3,5 
l,3,5 
m,3,5 
n,3,5 
o,3,5 
p,3,5 
q,3,5 
r,3,5 
s,3,5 
t,3,5 
u,3,5 
w,3,5 
x,3,5 
y,3,5 
z,3,5 
a,3,6 
b,3,6 
c,3,6 
d,3,6 
e,3,6 
f,3,6 
g,3,6 
h,3,6 
i,3,6 
j,3,6 
k,3,6 
l,3,6 
m,3,6 
n,3,6 
o,3,6 
p,3,6 
q,3,6 
r,3,6 
s,3,6 
t,3,6 
u,3,6 
w,3,6 
x,3,6 
y,3,6 
z,3,6 
a,3,7 
b,3,7 
c,3,7 
d,3,7 
e,3,7 
f,3,7 
g,3,7 
h,3,7 
i,3,7 
j,3,7 
k,3,7 
l,3,7 
m,3,7 
n,3,7 
o,3,7 
p,3,7 
q,3,7 
r,3,7 
s,3,7 
t,3,7 
u,3,7 
w,3,7 
x,3,7 
y,3,7 
z,3,7 
a,4,2 
b,4,2 
c,4,2 
d,4,2 
e,4,2 
f,4,2 
g,4,2 
h,4,2 
i,4,2 
j,4,2 
k,4,2 
l,4,2 
m,4,2 
n,4,2 
o,4,2 
p,4,2 
q,4,2 
r,4,2 
s,4,2 
t,4,2 
u,4,2 
w,4,2 
x,4,2 
y,4,2 
z,4,2 
a,4,3 
b,4,3 
c,4,3 
d,4,3 
e,4,3 
f,4,3 
g,4,3 
h,4,3 
i,4,3 
j,4,3 
k,4,3 
l,4,3 
m,4,3 
n,4,3 
o,4,3 
p,4,3 
q,4,3 
r,4,3 
s,4,3 
t,4,3 
u,4,3 
w,4,3 
x,4,3 
y,4,3 
z,4,3 
a,4,4 
b,4,4 
c,4,4 
d,4,4 
e,4,4 
f,4,4 
g,4,4 
h,4,4 
i,4,4 
j,4,4 
k,4,4 
l,4,4 
m,4,4 
n,4,4 
o,4,4 
p,4,4 
q,4,4 
r,4,4 
s,4,4 
t,4,4 
u,4,4 
w,4,4 
x,4,4 
y,4,4 
z,4,4 
a,4,5 
b,4,5 
c,4,5 
d,4,5 
e,4,5 
f,4,5 
g,4,5 
h,4,5 
i,4,5 
j,4,5 
k,4,5 
l,4,5 
m,4,5 
n,4,5 
o,4,5 
p,4,5 
q,4,5 
r,4,5 
s,4,5 
t,4,5 
u,4,5 
w,4,5 
x,4,5 
y,4,5 
z,4,5 
a,4,6 
b,4,6 
c,4,6 
d,4,6 
e,4,6 
f,4,6 
g,4,6 
h,4,6 
i,4,6 
j,4,6 
k,4,6 
l,4,6 
m,4,6 
n,4,6 
o,4,6 
p,4,6 
q,4,6 
r,4,6 
s,4,6 
t,4,6 
u,4,6 
w,4,6 
x,4,6 
y,4,6 
z,4,6 
a,4,7 
b,4,7 
c,4,7 
d,4,7 
e,4,7 
f,4,7 
g,4,7 
h,4,7 
i,4,7 
j,4,7 
k,4,7 
l,4,7 
m,4,7 
n,4,7 
o,4,7 
p,4,7 
q,4,7 
r,4,7 
s,4,7 
t,4,7 
u,4,7 
w,4,7 
x,4,7 
y,4,7 
z,4,7 
a,5,2 
b,5,2 
c,5,2 
d,5,2 
e,5,2 
f,5,2 
g,5,2 
h,5,2 
i,5,2 
j,5,2 
k,5,2 
l,5,2 
m,5,2 
n,5,2 
o,5,2 
p,5,2 
q,5,2 
r,5,2 
s,5,2 
t,5,2 
u,5,2 
w,5,2 
x,5,2 
y,5,2 
z,5,2 
a,5,3 
b,5,3 
c,5,3 
d,5,3 
e,5,3 
f,5,3 
g,5,3 
h,5,3 
i,5,3 
j,5,3 
k,5,3 
l,5,3 
m,5,3 
n,5,3 
o,5,3 
p,5,3 
q,5,3 
r,5,3 
s,5,3 
t,5,3 
u,5,3 
w,5,3 
x,5,3 
y,5,3 
z,5,3 
a,5,4 
b,5,4 
c,5,4 
d,5,4 
e,5,4 
f,5,4 
g,5,4 
h,5,4 
i,5,4 
j,5,4 
k,5,4 
l,5,4 
m,5,4 
n,5,4 
o,5,4 
p,5,4 
q,5,4 
r,5,4 
s,5,4 
t,5,4 
u,5,4 
w,5,4 
x,5,4 
y,5,4 
z,5,4 
a,5,5 
b,5,5 
c,5,5 
d,5,5 
e,5,5 
f,5,5 
g,5,5 
h,5,5 
i,5,5 
j,5,5 
k,5,5 
l,5,5 
m,5,5 
n,5,5 
o,5,5 
p,5,5 
q,5,5 
r,5,5 
s,5,5 
t,5,5 
u,5,5 
w,5,5 
x,5,5 
y,5,5 
z,5,5 
a,5,6 
b,5,6 
c,5,6 
d,5,6 
e,5,6 
f,5,6 
g,5,6 
h,5,6 
i,5,6 
j,5,6 
k,5,6 
l,5,6 
m,5,6 
n,5,6 
o,5,6 
p,5,6 
q,5,6 
r,5,6 
s,5,6 
t,5,6 
u,5,6 
w,5,6 
x,5,6 
y,5,6 
z,5,6 
a,5,7 
b,5,7 
c,5,7 
d,5,7 
e,5,7 
f,5,7 
g,5,7 
h,5,7 
i,5,7 
j,5,7 
k,5,7 
l,5,7 
m,5,7 
n,5,7 
o,5,7 
p,5,7 
q,5,7 
r,5,7 
s,5,7 
t,5,7 
u,5,7 
w,5,7 
x,5,7 
y,5,7 
z,5,7 
a,6,2 
b,6,2 
c,6,2 
d,6,2 
e,6,2 
f,6,2 
g,6,2 
h,6,2 
i,6,2 
j,6,2 
k,6,2 
l,6,2 
m,6,2 
n,6,2 
o,6,2 
p,6,2 
q,6,2 
r,6,2 
s,6,2 
t,6,2 
u,6,2 
w,6,2 
x,6,2 
y,6,2 
z,6,2 
a,6,3 
b,6,3 
c,6,3 
d,6,3 
e,6,3 
f,6,3 
g,6,3 
h,6,3 
i,6,3 
j,6,3 
k,6,3 
l,6,3 
m,6,3 
n,6,3 
o,6,3 
p,6,3 
q,6,3 
r,6,3 
s,6,3 
t,6,3 
u,6,3 
w,6,3 
x,6,3 
y,6,3 
z,6,3 
a,6,4 
b,6,4 
c,6,4 
d,6,4 
e,6,4 
f,6,4 
g,6,4 
h,6,4 
i,6,4 
j,6,4 
k,6,4 
l,6,4 
m,6,4 
n,6,4 
o,6,4 
p,6,4 
q,6,4 
r,6,4 
s,6,4 
t,6,4 
u,6,4 
w,6,4 
x,6,4 
y,6,4 
z,6,4 
a,6,5 
b,6,5 
c,6,5 
d,6,5 
e,6,5 
f,6,5 
g,6,5 
h,6,5 
i,6,5 
j,6,5 
k,6,5 
l,6,5 
m,6,5 
n,6,5 
o,6,5 
p,6,5 
q,6,5 
r,6,5 
s,6,5 
t,6,5 
u,6,5 
w,6,5 
x,6,5 
y,6,5 
z,6,5 
a,6,6 
b,6,6 
c,6,6 
d,6,6 
e,6,6 
f,6,6 
g,6,6 
h,6,6 
i,6,6 
j,6,6 
k,6,6 
l,6,6 
m,6,6 
n,6,6 
o,6,6 
p,6,6 
q,6,6 
r,6,6 
s,6,6 
t,6,6 
u,6,6 
w,6,6 
x,6,6 
y,6,6 
z,6,6 
a,6,7 
b,6,7 
c,6,7 
d,6,7 
e,6,7 
f,6,7 
g,6,7 
h,6,7 
i,6,7 
j,6,7 
k,6,7 
l,6,7 
m,6,7 
n,6,7 
o,6,7 
p,6,7 
q,6,7 
r,6,7 
s,6,7 
t,6,7 
u,6,7 
w,6,7 
x,6,7 
y,6,7 
z,6,7 
a,7,2 
b,7,2 
c,7,2 
d,7,2 
e,7,2 
f,7,2 
g,7,2 
h,7,2 
i,7,2 
j,7,2 
k,7,2 
l,7,2 
m,7,2 
n,7,2 
o,7,2 
p,7,2 
q,7,2 
r,7,2 
s,7,2 
t,7,2 
u,7,2 
w,7,2 
x,7,2 
y,7,2 
z,7,2 
a,7,3 
b,7,3 
c,7,3 
d,7,3 
e,7,3 
f,7,3 
g,7,3 
h,7,3 
i,7,3 
j,7,3 
k,7,3 
l,7,3 
m,7,3 
n,7,3 
o,7,3 
p,7,3 
q,7,3 
r,7,3 
s,7,3 
t,7,3 
u,7,3 
w,7,3 
x,7,3 
y,7,3 
z,7,3 
a,7,4 
b,7,4 
c,7,4 
d,7,4 
e,7,4 
f,7,4 
g,7,4 
h,7,4 
i,7,4 
j,7,4 
k,7,4 
l,7,4 
m,7,4 
n,7,4 
o,7,4 
p,7,4 
q,7,4 
r,7,4 
s,7,4 
t,7,4 
u,7,4 
w,7,4 
x,7,4 
y,7,4 
z,7,4 
a,7,5 
b,7,5 
c,7,5 
d,7,5 
e,7,5 
f,7,5 
g,7,5 
h,7,5 
i,7,5 
j,7,5 
k,7,5 
l,7,5 
m,7,5 
n,7,5 
o,7,5 
p,7,5 
q,7,5 
r,7,5 
s,7,5 
t,7,5 
u,7,5 
w,7,5 
x,7,5 
y,7,5 
z,7,5 
a,7,6 
b,7,6 
c,7,6 
d,7,6 
e,7,6 
f,7,6 
g,7,6 
h,7,6 
i,7,6 
j,7,6 
k,7,6 
l,7,6 
m,7,6 
n,7,6 
o,7,6 
p,7,6 
q,7,6 
r,7,6 
s,7,6 
t,7,6 
u,7,6 
w,7,6 
x,7,6 
y,7,6 
z,7,6 
a,7,7 
b,7,7 
c,7,7 
d,7,7 
e,7,7 
f,7,7 
g,7,7 
h,7,7 
i,7,7 
j,7,7 
k,7,7 
l,7,7 
m,7,7 
n,7,7 
o,7,7 
p,7,7 
q,7,7 
r,7,7 
s,7,7 
t,7,7 
u,7,7 
w,7,7 
x,7,7 
y,7,7 
z,7,7 

